═══ ②-7 선호(favor)의 정체가 결론을 바꾸는가 ═══
   shared  = 선호가 개인 속성(모든 평가자가 같은 편애) → 실력과 구별 불가
   per_eval= 선호가 평가자별 독립 → 관측자를 늘리면 제거 가능

── 선호=개인 속성
                방법    지표2 SD     하한대비     rho    부서%
                현행     8.470     0.0%   0.411    4.1
           Blom 원안     7.040    23.9%   0.646    4.0
         Blom+혼합효과     6.919    25.9%   0.663    5.5
         평가자 3명 평균     6.592    31.4%   0.703    4.5
           이상적(하한)     2.492   100.0%   0.970    0.9

── 선호=평가자별 독립
                방법    지표2 SD     하한대비     rho    부서%
                현행     8.400     0.0%   0.425    4.5
           Blom 원안     6.942    24.8%   0.659    4.1
         Blom+혼합효과     6.741    28.2%   0.685    5.8
         평가자 3명 평균     6.218    37.0%   0.741    5.0
           이상적(하한)     2.509   100.0%   0.969    0.9

