═══ ②-7 선호(favor)의 정체가 결론을 바꾸는가 ═══
   shared  = 선호가 개인 속성(모든 평가자가 같은 편애) → 실력과 구별 불가
   per_eval= 선호가 평가자별 독립 → 관측자를 늘리면 제거 가능

── 선호=개인 속성
                방법    지표2 SD     하한대비     rho    부서%
                현행     8.479     0.0%   0.409    4.4
           Blom 원안     7.040    24.0%   0.647    4.0
         Blom+혼합효과     6.931    25.8%   0.661    5.5
         평가자 3명 평균     6.604    31.3%   0.702    4.6
           이상적(하한)     2.492   100.0%   0.970    0.9

── 선호=평가자별 독립
                방법    지표2 SD     하한대비     rho    부서%
                현행     8.408     0.0%   0.423    4.8
           Blom 원안     6.935    25.0%   0.660    4.2
         Blom+혼합효과     6.758    28.0%   0.683    5.8
         평가자 3명 평균     6.235    36.8%   0.740    5.0
           이상적(하한)     2.509   100.0%   0.969    0.9

